,title_english,imdb_rating,votes_imdb,metascore,year,director,stars,imdb_trust
16077,Cykelmyggen og dansemyggen,"6,4",104.0,,2007,"Jannik Hastrup, Flemming Quist Møller","Bjarke Kastbjerg Andersen, Kaya Brüel, Lisbet Dahl, Peter Frödin",False
16078,Tayna trekh pustyn,,,,,,,False
16079,Pumuckl und der blaue Klabauter,"5,2",139.0,,1994,"Alfred Deutsch, Horst Schier","Gustl Bayrhammer, Towje Kleiner, Enzi Fuchs, Heinz Eckner",False
16080,Lengemesék,"7,0",74.0,,2017,Zsolt Pálfi,"Csongor Szalay, Anna Kubik, András Faragó, Róbert Bolla",False
16081,The Mousehole Cat (1994 TV Movie),"8,4",48.0,,1994,Catherine Collis,Siân Phillips,False
16082,Darth Vader: Dark Heart of the Sith,,,,2022,,"Jason Woods, Jon Kirby, Luke David, Cody Holt",False
16083,Terminator,,,,,,,False
16084,Huxley the Orpy House Mouse,,,,,,,False
16085,Yndlingsdatter,,,,2021,Susi Haaning,"Carla Eleonora Feigenberg, Dar Salim",False
16086,Kung Fu Masters,"5,0",24.0,,2017,Chi Tian,"Ben Bostick, Brian Bullock, Kara Mackey, Paul 'Maxx' Rinehart",False
16087,Thomas the Tank Engine & Friends,,,,2022,,Roberta Bassin,False
16088,Veslefrikk med fela,"7,5",569.0,,1951,,,False
16089,Star v the Forces of Evil: 360° Interdimensional Scavenger Hunt,"6,7",17.0,,2017,,"Grey Griffin, Adam McArthur, Eden Sher, Jenny Slate",False
16090,"Alisa znaet, chto delat!","6,2",52.0,,2013,,"Alyson Leigh Rosenfeld, Laurie Hymes, Marc Thompson, Mike Pollock",False
16091,The Cookie Cutter,,,,2020,David Rocco Facchini,David Rocco Facchini,False
16092,Fin n' Catty,"6,3",252.0,,1943,Chuck Jones,Robert C. Bruce,False
16093,Bad Grandmas,,,,,,,False
16094,Bonfire,"7,8",19.0,,2019,Eric Darnell,Ali Wong,False
16095,The Phantom Tollbooth: Beyond Expectations,"8,1",15.0,,2012,Hannah Jayanti,"Eric Carle, Jason Epstein, Jules Feiffer, Adam Gopnik",False
16096,All in the Bunker,"4,5",18.0,,2009,Andrew Overtoom,"S. Scott Bullock, Marco Cinello, Cheryl Hines, Don Novello",False
16097,Breezly and Sneezly,"6,3",37.0,,1964,,"Howard Morris, Mel Blanc, John Stephenson",False
