,title_english,imdb_rating,votes_imdb,metascore,year,director,stars,imdb_trust
5457,Coach Me If You Can,"7,2",28.0,,2020,,"Sabrina Pitre, Andrew Francis, Kaycie Chase, Gilduin Tissier",False
5458,Drifting Dragons,"6,1",673.0,,2020,,"Bryce Papenbrook, Johnny Yong Bosch, Billy Kametz, Keith Silverstein",False
5459,Code Geass: Lelouch of the Rebellion III - Emperor,"7,5",502.0,,2018,Gorô Taniguchi,"Jun Fukuyama, Takahiro Sakurai, Yukana, Ami Koshimizu",False
5460,Las locas Aventuras y Desventuras de Ed Grimley,"7,6",321.0,,1988,,"Catherine O'Hara, Andrea Martin, Martin Short, Jonathan Winters",False
5461,Paw Paws,"6,8",177.0,,1985,,"Don Messick, Frank Welker, Scatman Crothers, Rob Paulsen",False
5462,Los fantasmas de la ciudad,"7,7",446.0,,2021,,"Blue Chapman, Daysha Ligeon, August Nuñez, Honor Calderon",False
5463,The Dick Tracy Show,"5,6",253.0,,1961,,"Jerry Hausner, Benny Rubin, Mel Blanc, Everett Sloane",False
5464,Ribbit,"4,1",725.0,,2014,Chuck Powers,"Sean Astin, Tim Curry, Russell Peters, Cherami Leigh",False
5465,My Little Pony: Equestria Girls - Spring Breakdown (2019 TV Movie),"6,6",386.0,,2019,"Ishi Rudell, Katrina Hadley","Ashleigh Ball, Andrea Libman, Rebecca Shoichet, Tabitha St. Germain",False
5466,How to Train Your Dragon: Snoggletog Log,"4,4",290.0,,2019,,,False
5467,Jangaru taitei,"6,8",141.0,,1966,Eiichi Yamamoto,"Toshiko Yokota, Hajime Akashi, Hisashi Katsuta, Kinto Tamura",False
5468,Dr. Seuss on the Loose (1973 TV Movie),"7,7",674.0,,1973,Hawley Pratt,"Allan Sherman, Hans Conried, Paul Winchell, Bob Holt",False
5469,El viejo y el mar,"8,0",4434.0,,1999,Aleksandr Petrov,"Gordon Pinsent, Kevin Duhaney, Yôji Matsuda, Rentarô Mikuni",False
5470,Dirt Squirrel (2005 TV Movie),,,,2005,,"David Arquette, Jeff Braine, Tony Devon, Brittany Renee Finamore",False
5471,Clifford the Big Red Dog,"7,5",28.0,,1988,,"Arthur Howard, Jan Neuberger, Brent Titcomb",False
5472,The Trouble with Terkel,"7,2",391.0,,2010,"Thorbjørn Christoffersen, Stefan Fjeldmark, Randolph Kret","Mike Olsen, Shark Firestone, Richard Janes, Chad Ridgely",False
5473,Apex Legends: Stories from the Outlands,"7,6",14.0,,2019,,"Anjali Bhimani, JB Blanc, Anna Campbell, Elle Newlands",False
5474,Fate/Grand Order: First Order (2016 TV Movie),"5,7",1003.0,,2016,Hitoshi Nanba,"Nobunaga Shimazaki, Rie Takahashi, Madoka Yonezawa, Kenichi Suzumura",False
5475,Un pez fuera del mar,"4,3",1167.0,,2011,Aun Hoe Goh,"Maxwell Vreeland Andrew, Steven Bone, Colin Chong, Chi-Ren Choong",False
5476,My Little Pony: Pony Life,"5,1",514.0,,2020,,"Ashleigh Ball, Andrea Libman, Tabitha St. Germain, Tara Strong",False
5477,Genjitsu No Yohane -Sunshine in the Mirror-,"7,8",22.0,,2023,,"Aika Kobayashi, Yôko Hikasa, Arisa Komiya, Ai Furihata",False
5478,"Denver, el último dinosaurio","6,4",2515.0,,1988,,"Pat Fraley, Rob Paulsen, Kath Soucie, June Foray",False
5479,La vida y obra de Juniper Lee,"6,6",3106.0,,2005,,"Lara Jill Miller, Carlos Alazraqui, Kath Soucie, Candi Milo",False
5480,Bishôjo senshi Sêrâ Mûn super S: Sêrâ 9 senshi shûketsu! Burakku dorîmu hôru no kiseki,"7,4",1728.0,,1995,Hiroki Shibata,"Kotono Mitsuishi, Kae Araki, Michie Tomizawa, Aya Hisakawa",False
5481,The Haunted House: The Sky Ghost vs Jormungandr,"8,8",67.0,,2019,Byeon Young-Kyu,"Kim Chaeha, Hyunjung Cho, Yang Jeong-hwa, Yang Jeonghwa",False
5482,Frankenstein Jr. y Los Imposibles,"6,6",280.0,,1966,,"Ted Cassidy, Hal Smith, Paul Frees, John Stephenson",False
5483,La leyenda de Sirius,"7,1",565.0,,1981,Masami Hata,"Tôru Furuya, Mami Koyama, Ikue Sakakibara, Jûkichi Uno",False
5484,The Alphabet,"6,7",8280.0,,1969,David Lynch,Peggy Reavey,False
5485,Camp WWE,"6,4",525.0,,2016,,"Ashley Bornancin, Vince McMahon, Aly Fainbarg, Robert Remus",False
5486,Las aventuras de André y Wally B.,"5,3",5996.0,,1984,,,False
5487,Dixie y la rebelión zombi,"4,5",262.0,,2014,"Beñat Beitia, Ricardo Ramón, MJ Lallo","Rigoberta Bandini, Núria Trifol, Ivan Labanda, Elisabet Bargalló",False
5488,Solid Serenade,"8,1",1618.0,,1946,"Joseph Barbera, William Hanna","Frank Graham, Billy Bletcher, William Hanna, Earl Keen",False
5489,Dance with Devils,"5,8",634.0,,2015,,"Ricco Fajardo, Dawn M. Bennett, Aaron Roberts, Gregory Lush",False
5490,Power Players,"6,0",97.0,,2019,,"Benjamin Van Meggelen, Greg Chun, Kieran Walton, Landon McDonald",False
5491,Ri¢hie Ri¢h,"6,0",1302.0,,1982,,"Frank Welker, Nancy Cartwright, Robert Ridgely, Sparky Marcus",False
5492,La leyenda del chupacabras,"5,2",312.0,,2016,Alberto Rodriguez,"Eduardo España, Romulo Bernal, Crystal Lopez, Mayté Cordeiro",False
5493,Cheech & Chong's Animated Movie,"4,7",939.0,,2013,"Branden Chambers, Eric D. Chambers","Tommy Chong, Cheech Marin",False
5494,Tom Sawyer (2000 Video),"5,9",409.0,,2000,"Paul Sabella, Phil Mendez","Rhett Akins, Mark Wills, Lee Ann Womack, Hynden Walch",False
5495,Kaijudo: Rise of the Duel Masters,"6,6",277.0,,2012,,"Scott Wolf, Kari Wahlgren, Phil LaMarr, Dee Bradley Baker",False
5496,Du Bu Xiao Yao,"9,1",39.0,,2020,,,False
5497,Escuela de verano,"7,1",59.0,,1994,,"Naoko Ishî, Mitsuo Iwata, Miki Takahashi, Junko Asami",False
5498,Inhumans,"6,6",434.0,,2013,,"Sarah Edmondson, Kelly Sheridan, Kathleen Barr, Alex Zahara",False
5499,Kid 'n' Play,"5,9",180.0,,1990,,"Les Tremayne, Charlie Adler, Janet Waldo, Susan Blu",False
5500,Opowiadania Muminków,"7,3",563.0,,1977,,"Hans Clarin, Stanislaw Kwasniak, Stanislaw Wyszynski, Richard Murdoch",False
5501,Superman: El último hijo de Kripton (1996 TV Movie),"7,6",3180.0,,1996,"Curt Geda, Scott Jeralds, Dan Riba, Bruce Timm","Tim Daly, Dana Delany, Clancy Brown, Malcolm McDowell",False
5502,Sonic: Nazo Unleashed,"8,5",91.0,,2006,,"Edwyn Tiong, Jason Griffith, Ryan Drummond, Deem Bristow",False
5503,En busca del valle encantado 8: La gran helada (2001 Video),"5,7",2630.0,,2001,Charles Grosvenor,"John Ingle, Aria Noelle Curzon, Rob Paulsen, Thomas Dekker",False
5504,Sly Cooper,,,,,Kevin Munroe,"Ian James Corlett, Matt Olsen, Chris Murphy",False
5505,Pui Pui Molcar,"8,1",521.0,,2021,,"Tomoki Misato, Mizuho Misato",False
5506,Laverne & Shirley in the Army,"5,7",142.0,,1981,,"Penny Marshall, Ron Palillo, Cindy Williams, Kenneth Mars",False
5507,Hui Buh: Das Schlossgespenst,"4,8",3138.0,,2006,Sebastian Niemann,"Michael Herbig, Christoph Maria Herbst, Heike Makatsch, Ellenie Salvo González",False
5508,Patrulla de aterrizaje (2009 TV Short),"7,6",3696.0,,2009,"Kevin Deters, Stevie Wermers","David Foley, Sarah Chalke, Mason Cotton, David DeLuise",False
5509,Jahy-sama wa Kujikenai!,"6,8",432.0,,2021,,"Naomi Ohzora, Hideyuki Hori, Lisette Monique Diaz, Ai Kayano",False
5510,Robot Chicken: Star Wars III (2010 TV Movie),"8,0",4590.0,,2010,"Chris McKay, Seth Green","Seth Green, Abraham Benrubi, Bob Bergen, Ahmed Best",False
5511,The Canterbury Tales,"6,6",233.0,,1998,,"Robert Lindsay, Neil Dudgeon, Tim McInnerny, Michael Feast",False
5512,Lego DC Comics Super Heroes: La Liga de la Justicia - La invasión de Brainiac (2016 Video),"6,3",1623.0,,2016,Rick Morales,"Troy Baker, Jessica DiCicco, Grey Griffin, Josh Keaton",False
5513,G-Force: Guardians of Space,"7,4",772.0,,1987,,"Barbara Goodson, Jan Rabson, Bill Capizzi, Sam Fontana",False
5514,The New Adventures of Gilligan,"6,5",161.0,,1974,,"Bob Denver, Alan Hale Jr., Jim Backus, Natalie Schafer",False
5515,Ring Raiders,"6,4",87.0,,1989,,"Ike Eisenmann, Roscoe Lee Browne, Rodger Bumpass, Jack Angel",False
5516,The Little Lulu Show,"7,2",761.0,,1995,,"Ajay Fry, Dawn Ford, Jane Woods, Tracey Ullman",False
5517,Animated Inanimate Battle,"8,9",25.0,,2020,,"Robert Johnston, Riley Cooke, Flrn, Goldenzoomi",False
5518,Troy: The Resurrection of Aeneas,"1,1",157.0,,2018,Aeneas Middleton,"Aeneas Middleton, Hardley Davidson",False
5519,Little Johnny Jet,"6,9",566.0,,1953,Tex Avery,"June Foray, Daws Butler, Colleen Collins",False
5520,Funcionamiento interno,"7,7",5090.0,,2016,Leonardo Matsuda,"Tucker Gilmore, Raymond S. Persi",False
5521,Nigel and Marmalade,"9,8",9.0,,2023,,Tom Bates,False
5522,Xiong Chu Mei Ban Wo Xiong Xin,"7,2",92.0,,2023,"Yongchang Lin, Heqi Shao","Bingjun Zhang, Wei Zhang, Xiao Tan, Yingying Miu",False
5523,Chibi Tiny Tales,"7,3",45.0,,2020,,,False
5524,Hyouken no Majutsushi ga Sekai wo Suberu,"6,3",499.0,,2023,,"Clifford Chapin, Alexis Tipton, Sarah Wiedenheft, Emi Lo",False
5525,Polly Pocket,"6,1",152.0,,2018,,"Agostina Longo, Emily Tennant, Shannon Chan-Kent, Kazumi Evans",False
5526,Retorciendo el tiempo con Sammy y Raj,"8,1",30.0,,2023,,"Nirvaan Pal, Aiden Alberto, Crina Shah, Rama Vallury",False
5527,Muv-Luv Alternative,"5,9",67.0,,2021,,,False
5528,Crusader Rabbit,"7,2",161.0,,1950,,"Vern Louden, Roy Whaley, Russ Coughlan, GeGe Pearson",False
5529,Uma Musume: Pretty Derby,"6,9",249.0,,2018,,"Azumi Waki, Ayaka Ohashi, Chisa Kimura, Hitomi Ueda",False
5530,Sento Yosei Yukikaze,"7,2",349.0,,2002,,"Yôko Asagami, Takaya Hashi, Noriaki Sugiyama, Takuya Kirimoto",False
5531,Los cuentos de Andersen,"7,8",286.0,,2003,,"Henrik Koefoed, Ditte Gråbøl, Thomas Mørk, Søren Spanning",False
5532,Octonauts and the Caves of Sac Actun,"6,2",216.0,,2020,Blair Simmons,"Teresa Gallagher, Wayne Grayson, Simon Greenall, Michael Murphy",False
5533,Stressed Eric,"7,4",482.0,,1998,,"Mark Heap, Morwenna Banks, Rebecca Front, Alison Steadman",False
5534,Mushikago no Cagaster,"6,0",732.0,,2020,,"Aleks Le, Todd Haberkorn, Ryan Bartley, Kim Strauss",False
5535,Walt Disney Animation Studios Short Films Collection (2015 Video),"7,6",901.0,,2015,"Roger Allers, Mark Henn, Lauren MacMullan","Paul Briggs, Alan Dale, Bill Farmer, Jack Goldenberg",False
5536,LEGO Guardianes de la Galaxia: La amenaza de Thanos (2017 TV Short),"5,8",524.0,,2017,Michael D. Black,"Jonathan Adams, Trevor Devall, Will Friedle, Jennifer Hale",False
5537,Infinity Nado,"8,2",22.0,,2012,,,False
5538,Lula: The Sexy Empire (1998 Video Game),"6,8",22.0,,1998,,"Andrea, Patrick Leusch, Silke Wünsch",False
5539,Didi & Friends the Movie,"8,1",35.0,,2023,"Roshfaizal Ariffin, Akmal Aziz Asmawi","Nur Insyeerah, Adilia Myra, Adam Muqri, Akmal Aziz Asmawi",False
5540,A Miser Brothers' Christmas (2008 TV Movie),"6,1",1234.0,,2008,Dave Barton Thomas,"Mickey Rooney, George S. Irving, Juan Chioran, Catherine Disher",False
5541,Wallace and Gromit's World of Invention,"7,2",982.0,,2010,,"Peter Sallis, Ashley Jensen, Jem Stansfield, John Sparkes",False
5542,World Dai Star,"7,2",33.0,,2023,,"Manaka Iwami, Ikumi Hasegawa, Sally Amaki, Maria Naganawa",False
5543,Shihaisha no Tasogare,"5,5",558.0,,1997,Akiyuki Shinbô,"Andrew Philpot, Toshihiko Seki, Masuo Amada, Steve Bulen",False
5544,The Wombles,"6,9",945.0,,1973,,"Bernard Cribbins, Dieter Hallervorden",False
5545,Building a Building,"7,0",975.0,,1933,David Hand,"Pinto Colvig, Walt Disney, Marcellite Garner",False
5546,Babar en la selva,"6,3",1066.0,,1989,Alan Bunce,"Gordon Pinsent, Gavin Magrath, Elizabeth Hanna, Lisa Jai",False
5547,Last Day of the Dinosaurs (2010 TV Movie),"7,3",527.0,,2010,Richard Dale,Bill Mondy,False
5548,Tree Fu Tom,"5,3",219.0,,2012,,"Tim Whitnall, Samantha Dakin, Sophie Aldred, David Tennant",False
5549,Ao no ekusoshisuto: Gekijôban,"7,1",2380.0,,2012,Atsushi Takahashi,"Nobuhiko Okamoto, Jun Fukuyama, Kana Hanazawa, Kazuya Nakai",False
5550,Kamisama ni Natta hi,"6,6",710.0,,2020,,"Mark Allen Jr., Tabitha Ray, Adam Rowe, Natsuki Hanae",False
5551,Air,"7,0",1476.0,,2005,,"Daisuke Ono, Tomoko Kawakami, Monica Rial, Aya Hisakawa",False
5552,The Mike Nolan Show,"9,0",447.0,,2016,,Jarrad Wright,False
5553,La diosa de la primavera,"6,6",1218.0,,1934,Wilfred Jackson,"Kenny Baker, Jessica Dragonette, Tudor Williams",False
5554,Bamse och vulkanön,"5,5",180.0,,2021,Christian Ryltenius,"Calle Marthin, Rolf Lassgård, Johan Glans, Sven Björklund",False
5555,El perro que salvó la Navidad (2009 TV Movie),"4,4",902.0,,2009,Michael Feifer,"Dean Cain, Gary Valentine, Mario Lopez, Elisa Donovan",False
5556,Yo Mama,"6,8",103.0,,2011,,"Brock Baker, Izzi Rae, Jon Bailey, Alan Ritchson",False
5557,Glisten and the Merry Mission,,,,,Cory Morrison,"Chevy Chase, Michael Rapaport, Freddie Prinze Jr., Trinity Jo-Li Bliss",False
5558,Transformers: Combiner Wars (I),"5,3",326.0,,2016,,"Abby Trott, Lana McKissack, Anna Akana, Ben Pronsky",False
5559,My Little Pony: Tell Your Tale,"5,4",151.0,,2022,,"Jenna Warren, AJ Bridel, JJ Gerber, Maitreyi Ramakrishnan",False
5560,El imperio de los cadáveres,"6,0",1337.0,,2015,Ryôtarô Makihara,"Clint Bickham, Pietro Biondi, Massimo Bitossi, Giorgio Borghetti",False
5561,Nayola,"7,0",151.0,,2022,José Miguel Ribeiro,"Catarina André, Vitória Adelino Dias Soares, Elisângela Rita, Feliciana Délcia Guia",False
5562,Machikado mazoku,"7,1",287.0,,2019,,"Konomi Kohara, Akari Kitô, Minami Takahashi, Monica Rial",False
5563,Wo de Tian Jie Nu You,"6,6",10.0,,2017,,"Mingyue Liu, Nianru Shen, Tu-Te-Ha-Meng, Xianghai Hao",False
5564,Revival of Evangelion,"7,7",330.0,,1998,"Hideaki Anno, Masayuki, Kazuya Tsurumaki","Megumi Hayashibara, Akira Ishida, Tetsuya Iwanaga, Junko Iwao",False
5565,C-Bear and Jamal,"5,8",461.0,,1996,,"Tone Loc, Arthur Reggie III, Dawnn Lewis, Aries Spears",False
5566,Bremen Musicians,,,,,Lawrence Guterman,"Neve Campbell, Alan Cumming, Jeffrey Wright",False
5567,Buda 2. Camino a la iluminación,"6,2",201.0,,2014,Toshiaki Komura,"Kiyokazu Kanze, Ken'ichi Matsuyama, Nana Mizuki, Tetsuo Nakanishi",False
5568,Papyrus,"6,6",476.0,,1998,,"Alexis Tomassian, Elisabeth Ventura, Sauvane Delanoë, Tony Marot",False
5569,Chaar Sahibzaade,"7,7",7889.0,,2014,Harry Baweja,"Om Puri, Harman Baweja",False
5570,Cudesna suma,"8,0",1557.0,,1986,"Milan Blazekovic, Doro Vlado Hreljanovic","Josip Marotti, Vili Matula, Ljubo Kapor, Emil Glad",False
5571,NFL Rush Zone,"6,3",105.0,,2010,,"Andres Aragon, Johnny Yong Bosch, Malachi Cohen, Nika Futterman",False
5572,Ant-Man,"6,4",612.0,,2017,,"Josh Keaton, Melissa Rauch, Dee Bradley Baker, William Salyers",False
5573,Tom and Jerry: Spy Quest (2015 Video),"6,0",1138.0,,2015,"Spike Brandt, Tony Cervone","Reese Hartwig, Arnie Pantoja, James Hong, Eric Bauza",False
5574,Zoids Wild,"7,5",39.0,,2018,,"Kenshô Ono, Etsuko Kozakura, Mikako Komatsu, Cole Howard",False
5575,Lost and Found (2008 TV Movie),"8,0",843.0,,2008,Philip Hunt,Jim Broadbent,False
5576,Majikku Kaito 1412,"7,3",498.0,,1412,,"Kappei Yamaguchi, Mao Ichimichi, Unshô Ishizuka, Michio Hazama",False
5577,Saibôgu 009,"7,4",509.0,,2001,,"Takahiro Sakurai, Mugihito, Satsuki Yukino, Simon Prescott",False
5578,Keloglan Masallari,"6,9",218.0,,2008,,,False
5579,Lupin III vs. Detective Conan: La película,"6,4",1090.0,,2013,Hajime Kamegaki,"Kan'ichi Kurita, Minami Takayama, AmaLee, Dawn M. Bennett",False
5580,Stellaluna (2002 Video),"6,1",118.0,,2002,William R. Kowalchuk Jr.,"Chiara Zanni, Eric Pospisil, Matthew Prior, Brittany Moldowan",False
5581,Cuccioli cerca amici nel regno di Pocketville,"4,3",136.0,,2010,,"Julie-Ann Dean, Jeff Schjerlund, Katie McGovern, Katherine Wilson",False
5582,La princesa Sissi,"6,9",816.0,,1997,,"Jacob Tierney, Terri Hawkes, Terrence Scammell, Elisabeth Fargeot",False
5583,Mónica y su pandilla,"8,3",152.0,,1976,,"Angélica Santos, Marli Bortoletto, Paulo Cavalcante, Elza Gonçalves",False
5584,Red Iron Road,"5,8",233.0,,2022,,"Lawrence Bayne, Alicia Richardson, Kevin Hanchard, George Tchortov",False
5585,Ani*Kuri15,"6,6",658.0,,2007,,"Yuka Terasaki, Rei Nakagawa, Takeshi Maeda, Shizuka Okohira",False
5586,The One I Love is My Little Sister But She's Not a Little Sister,"4,1",173.0,,2018,,"Chinatsu Akasaki, Ayumi Mano, Yui Ogura, Yui Nakajima",False
5587,Jeannie,"5,9",187.0,,1973,,"Julie McWhirter, Mark Hamill, Joe Besser, Bob Hastings",False
5588,Mamono Hunter Yôko,"6,5",292.0,,1990,,"Aya Hisakawa, Chieko Honda, Tiffany Grant, Amanda Winn Lee",False
5589,El Paraiso de Hello Kitty,"5,6",113.0,,2000,,"Michael Coleman, Jennifer Darling, Melissa Fahn, Tony Pope",False
5590,Saga of Tanya the Evil Movie,"7,5",1413.0,,2019,Yutaka Uemura,"Tesshô Genda, Daiki Hamano, Takaya Hashi, Saori Hayami",False
5591,El hombre que plantaba árboles,"8,5",5954.0,,1987,Frédéric Back,"Philippe Noiret, Christopher Plummer",False
5592,One Piece: Episode of Luffy - Hand Island No Bouken (2012 TV Movie),"7,1",1019.0,,2012,,"Hiroaki Hirata, Mayumi Tanaka, Kazuki Yao",False
5593,Chikn Nuggit,"9,1",71.0,,2020,,"Kyra Kupetsky, Vivian Nweze, Cristina Valenzuela, Carolina Reynoso",False
5594,Garfield en la vida real (2007 Video),"4,3",2554.0,,2007,"Mark A.Z. Dippé, Kyung Ho Lee","Frank Welker, Rajia Baroudi, Gregg Berger, Jennifer Darling",False
5595,Pokémon: El desafío de Darkrai,"6,3",3779.0,,2007,Kunihiko Yuyama,"Rica Matsumoto, Ikue Ôtani, Yûji Ueda, Megumi Toyoguchi",False
5596,Feng yu zhou,"7,0",404.0,,2018,,,False
5597,Strawberry Panic,"7,1",756.0,,2006,,"Hitomi Nabatame, Ai Shimizu, Mai Nakahara, Chiwa Saitô",False
5598,La hora de Timmy,"6,8",1247.0,,2009,,"Kate Harbour, Justin Fletcher, Louis Jones",False
5599,Q Pootle 5,"7,8",46.0,,2013,,"Ed Gaughan, Steven Kynman, Joanna Page, Ella Kenion",False
5600,The Most Popular Girls in School,"8,8",739.0,,2012,,"Lily Vonnegut, Carlo Moss, Kate Frisbee, Garrett Mendez",False
5601,Hair High,"6,7",1133.0,61.0,2004,Bill Plympton,"Eric Gilliland, Sarah Silverman, Dermot Mulroney, Beverly D'Angelo",False
5602,Urmel voll in Fahrt,"4,4",467.0,,2008,"Reinhard Klooss, Holger Tappe","Hannes Maurer, Julia Ziffer, Oliver Kalkofe, Frank Schaff",False
5603,Family Guy,,,,,,Owen Daniels,False
5604,Mezzo DSA,"6,4",321.0,,2003,,"Luci Christian, Andy McAvin, Jason Douglas, Sasha Paysinger",False
5605,Re-Main,"7,2",437.0,,2021,,"Alicyn Packard, David Matranga, Caleb Yen, Shara Kirby",False
5606,Isekai Quartet,"7,0",863.0,,2019,,"Yûsuke Kobayashi, Erica Mendez, Satoshi Hino, Jun Fukushima",False
5607,Umezu Kazuo no noroi (1990 Video),"6,7",329.0,,1990,Naoko Omi,"Ikuya Sawaki, Shinobu Adachi, Narumi Aoki, Osamu Hosoi",False
5608,Gochuumon wa Usagi Desu ka?,"7,0",356.0,,2014,,"Ayane Sakura, Inori Minase, Risa Taneda, Motomu Kiyokawa",False
5609,Free! The Final Stroke Part 2,"7,6",83.0,,2022,Eisaku Kawanami,Nobunaga Shimazaki,False
5610,The Imaginary,,,,2023,,,False
5611,Allahyar and the Legend of Markhor,"7,3",460.0,,2018,Uzair Zaheer Khan,"Arieb Azhar, Natasha Humera Ejaz, Azfar Jafri, Abdul Nabi Jamali",False
5612,Don't Hug Me I'm Scared 3 (2014 Video),"7,8",2381.0,,2014,"Joseph Pelling, Becky Sloan","Baker Terry, Becky Sloan, Joseph Pelling, Royngtt",False
5613,Extreme Dinosaurs,"6,4",707.0,,1997,,"Scott McNeil, Cusse Mankuma, Garry Chalk, Terry Klassen",False
5614,Doraemon: Nobita no Neji maki shitî Bôkenki,"6,5",258.0,,1997,Tsutomu Shibayama,"Nobuyo Ôyama, Noriko Ohara, Michiko Nomura, Kaneta Kimotsuki",False
5615,Les Sisters,"8,0",57.0,,2017,,,False
5616,The King of Fighters: Awaken,,,,,,,False
5617,Nina's World,"6,7",71.0,,2015,,"Isabella Farrier, Tabitha St. Germain, Rita Moreno, Donovan Wolf",False
5618,Quan Huang Ming Yun,"6,7",158.0,,2017,,"Miyuki Sawashiro, Ai Kakuma, Tomoaki Maeno, Yû Shimamura",False
5619,Adam: The Mirror,"6,6",1756.0,,2017,Neill Blomkamp,"Jason Cope, Ken Lawson, Coulton Jackson, Alyson Walker",False
5620,Monster High: Electrificadas (2017 TV Movie),"5,5",370.0,,2017,"Jun Falkenstein, Avgousta Zourelidi","Debi Derryberry, Cassandra Lee Morris, Salli Saffioti, Larissa Gallagher",False
5621,Thundercats,,,,,,,False
5622,Cang Yuan Tu,"8,1",8.0,,2023,,Zhen Zhao,False
5623,Miss Caretaker of Sunohara-sou,"6,4",280.0,,2018,,"Eri Kitamura, Rina Sato, Yume Miyamoto, Megumi Nakajima",False
5624,Irmão do Jorel,"9,1",1187.0,,2014,,"Andrei Duarte, Melissa Garcia, César Marchetti, Hugo Picchi",False
5625,Merry Little Batman (2023 TV Movie),,,,2023,Mike Roth,Yonas Kibreab,False
5626,3-2-1 Penguins!,"6,5",257.0,,2000,,"Quinn Lord, Claire Margaret Corlett, Ellen Kennedy, John Payne",False
5627,DokiDoki! PreCure,"6,2",218.0,,2013,,"Mayumi Tanaka, Atsuko Tanaka, Ayaka Ohashi, Kazuhiro Yamaji",False
5628,Wild Elephinks,"7,1",323.0,,1933,"Dave Fleischer, Willard Bowsky","William Costello, Charles Lawrence, William Pennell, Bonnie Poe",False
5629,Vamos Zenko,"7,0",61.0,,2022,,"Tabitha St. Germain, Dominic Mariche, Nakai Takawira, Daysha Ligeon",False
5630,Beast wars II,"6,8",150.0,,1998,,"Hozumi Gôda, Tetsuo Komura, Junko Takeuchi, Hiroki Takahashi",False
5631,Perlimps,"6,8",110.0,,2022,Alê Abreu,"Stênio Garcia, Giulia Benite, Lorenzo Tarantelli",False
5632,Best Friend from Heaven,"5,0",140.0,,2017,Justin G. Dyck,"Derick Agyemang, Peggy Calvert, Brian Scott Carleton, Bob Charters",False
5633,Princesse Dragon,"7,2",122.0,,2021,"Jean-Jacques Denis, Anthony Roux","Lila Lacombe, Kaycie Chase, Jérémie Covillault, Colette Venhard",False
5634,Viatge a Melònia,"7,3",1417.0,,1989,Per Åhlin,"Allan Edwall, Robyn Carlsson, Olle Sarri, Tomas von Brömssen",False
5635,Zoids: Chaotic Century,"7,9",667.0,,1999,,"Carol-Anne Day, Dave Pettitt, Matthew Erickson, Victor Atelevich",False
5636,The Feast of Amrita,,,,2023,Saku Sakamoto,"MoeMi, Mamiko Noto, Maaya Uchida",False
5637,Akira,,,,,,,False
5638,Derutora kuesuto,"7,1",279.0,,2007,,"Victor Atelevich, Cole Howard, Laura Rushfeldt, Tom Edwards",False
5639,Lego Bionicle: The Journey to One,"5,5",211.0,,2016,,"Nolan Balzer, Paolo Bryant, Jacqui Fox, Quinn Greene",False
5640,Pup on a Picnic,"7,2",701.0,,1955,"Joseph Barbera, William Hanna","Daws Butler, William Hanna, Jack Sabel",False
5641,Bigfoot (II),"1,6",148.0,,2018,Evan Tramel,"Nathan Gray, Kj Schrock, Martin Singer, Charlie Suntress",False
5642,Madeline (1988 TV Movie),"7,6",292.0,,1988,Stephan Martinière,"Christopher Plummer, Marsha Moreau, Daccia Bloomfield, Tara Strong",False
5643,Erky Perky,"5,9",167.0,,2006,,"Jason Barr, Neil Crone, Judy Marshak, Adrian Truss",False
5644,DC Showcase: Kamandi: The Last Boy on Earth!,"6,5",882.0,,2021,Matt Peters,"Cameron Monaghan, Steve Blum, Adam Gifford, Armen Taylor",False
5645,Melody (I),,,,,Jeremy Zag,Katy Perry,False
5646,Alice in Wonderland,"6,2",845.0,,1949,Dallas Bower,"Stephen Murray, Ernest Milton, Pamela Brown, Felix Aylmer",False
5647,Final Fantasy: Unlimited,"5,9",684.0,,2001,,"Samantha Clark, Chris Scott, Samantha Inoue Harte, Kôji Ishii",False
5648,A Winter's Journey (I),,,,,Alex Helfrecht,"Jason Isaacs, John Malkovich, Ólafur Darri Ólafsson, Martina Gedeck",False
5649,Gabriel DropOut,"7,1",1046.0,,2017,,"Kana Hanazawa, Saori Ônishi, Miyu Tomita, Naomi Ohzora",False
5650,Punky Brewster,"6,3",331.0,,1985,,"David Mendenhall, Vince Edwards, Shavar Ross, Neil Ross",False
5651,Ultraman,,,,,,,False
5652,Tobot Galaxy Detectives,"6,9",19.0,,2020,,"Travis Turner, Austin A.J. Abell, Cole Howard, Jesse Inocalla",False
5653,Muumi ja punainen pyrstötähti,"6,0",608.0,,2010,Maria Lindberg,"Max von Sydow, Alexander Skarsgård, Stellan Skarsgård, Mads Mikkelsen",False
5654,Kidô senshi Gundam ZZ,"6,8",663.0,,1986,,"Darren Pleavin, Kazuki Yao, Maya Okamoto, Eriko Hara",False
5655,The Dating Guy,"4,7",392.0,,2009,,"Fab Filippo, Lauren Ash, Sean Francis, Anand Rajaram",False
5656,Nussa: The Movie,"7,3",543.0,,2021,Bony Wirasmono,"Muzakki Ramdhan, Aysha Razaana Ocean Fajar, Fenita Arie, Ali Fikry",False
5657,Biohazard 4D: Executer,"5,6",546.0,,2000,Kôichi Ôhata,"Masaki Aizawa, Hiroto Torihata, Hideto Erihara, Tadasuke Ohmizu",False
5658,Generaciones Pokémon,"7,7",895.0,,2016,,"Keiji Fujiwara, Fumiko Orikasa, Kira Buckland, Akio Ôtsuka",False
