title_english,imdb_rating,imdb_trust,score,japanese_name
Digimon Fusion,6.5,False,6.45,デジモンクロスウォーズ 時を駆ける少年ハンターたち
One Outs,8.3,False,8.35,ワンナウツ
Kokoro Connect,7.4,False,7.82,ココロコネクト
Amagami SS,6.8,False,7.36,アマガミSS
Amagami SS,6.8,False,7.26,アマガミSS
The Sky Crawlers,6.7,False,7.3,スカイ・クロラ
Level E,6.8,False,7.45,レベルE
Speed Grapher,7.1,False,7.35,スピードグラファー
Sakura Trick,6.9,False,7.02,桜Trick
Digimon Data Squad,6.6,False,6.95,デジモンセイバーズ
Golgo 13,7.4,False,7.54,ゴルゴ13
DRAMAtical Murder,5.7,False,6.09,ドラマティカル マーダー
Sorcerous Stabber Orphen,5.6,False,5.78,魔術士オーフェンはぐれ旅
Stars Align,7.4,False,7.53,星合の空
Harukana Receive,6.5,False,6.7,はるかなレシーブ
Knight's & Magic,7.2,False,7.13,ナイツ&マジック
Yo-kai Watch,5.9,False,6.54,妖怪ウォッチ
Kaleido Star,7.8,False,7.94,カレイドスター
Drifting Dragons,6.1,False,7.05,空挺ドラゴンズ
Dance with Devils,5.8,False,6.36,ダンス・ウィズ・デビルス
Strawberry Panic,7.1,False,7.31,ストロベリー・パニック
Gabriel DropOut,7.1,False,7.49,ガヴリールドロップアウト
Mazinger Z,7.8,False,7.26,マジンガーＺ
Rail Wars!,5.7,False,6.41,RAIL WARS! [レールウォーズ]
White Album 2,7.3,False,7.71,ホワイトアルバム2
Captain Tsubasa,7.8,False,7.4,キャプテン翼 (2001)
Tamako Market,6.9,False,7.38,たまこまーけっと
Tiger Mask W,6.9,False,6.98,タイガーマスクW
Flying Witch,7.2,False,7.53,ふらいんぐうぃっち
Freezing Vibration,6.9,False,6.82,フリージング ヴァイブレーション
Princess Principal,7.3,False,7.71,プリンセス・プリンシパル
Macross Zero,7.7,False,7.55,マクロス ゼロ
Death Billiards,7.5,False,7.93,デス・ビリヤード
Tenkai Knights,6.1,False,6.45,テンカイナイト
Cardfight!! Vanguard,5.8,False,7.04,カードファイト!! ヴァンガード
Gunslinger Girl,7.4,False,7.42,ガンスリンガー・ガール
Ikebukuro West Gate Park,6.4,False,6.83,池袋ウエストゲートパーク
Holy Knight,4.8,False,6.02,Holy Knight (ホーリーナイト)
Ben-To,6.7,False,7.28,ベン・トー
Witch Hunter Robin,7.2,False,7.27,Witch Hunter ROBIN (ウイッチハンターロビン)
Tales of Zestiria the X,6.8,False,7.31,テイルズ オブ ゼスティリア ザ クロス
Gigantor,6.9,False,6.2,鉄人２８号
Buddy Complex,7.0,False,7.17,バディ・コンプレックス
Ghost Hound,7.4,False,7.46,神霊狩 GHOST HOUND
Konohana Kitan,7.2,False,7.56,このはな綺譚
Aria the Scarlet Ammo,6.5,False,6.88,緋弾のアリア
Angel Sanctuary,6.4,False,6.31,天使禁猟区
07-Ghost,6.9,False,7.24,セブンゴースト
Casshern Sins,7.0,False,7.53,キャシャーン SINS
Battle B-Daman,4.8,False,6.28,B-伝説(ビーレジェンド)! バトルビーダマン
Clockwork Planet,5.4,False,6.47,クロックワーク・プラネット
Nobunaga teacher's young bride,5.2,False,5.27,ノブナガ先生の幼な妻
Yakitate!! Japan,7.7,False,7.95,焼きたて!! ジャぱん
Tsukimonogatari,7.6,False,8.14,憑物語
D-Frag!,7.3,False,7.58,ディーふらぐ！
Air Gear,7.1,False,7.53,エア・ギア
Zetman,6.4,False,6.89,ゼットマン
Kekkaishi,7.5,False,7.63,結界師
Blade & Soul,6.0,False,6.09,ブレイドアンドソウル
Zoids Genesis,8.0,False,7.24,ゾイド ジェネシス
RahXephon,7.2,False,7.42,ラーゼフォン
Full Metal Panic! Invisible Victory,7.5,False,7.6,フルメタル・パニック！Invisible Victory
Joshiraku,7.2,False,7.49,じょしらく
Isuca,5.8,False,6.03,ISUCA [イスカ]
Genshiken,7.5,False,7.66,げんしけん
Gundam Build Fighters,7.2,False,7.79,ガンダムビルドファイターズ
Gakuen Heaven,5.9,False,6.55,学園ヘヴン
Brave Story,6.5,False,7.46,ブレイブ・ストーリー
New Game!,7.3,False,7.62,NEW GAME!
Tokyo Majin,6.1,False,7.15,東京魔人學園剣風帖　龖（トウ）
Ghost Talker's Daydream,6.1,False,6.21,低俗霊DAYDREAM
Omamori Himari,6.3,False,6.93,おまもりひまり
Sakura Quest,7.3,False,7.41,サクラクエスト
Punch Line,6.1,False,6.99,パンチライン
Sanrio Boys,6.5,False,6.61,サンリオ男子
Hakata Tonkotsu Ramens,7.1,False,7.41,博多豚骨ラーメンズ
Magical Girl Raising Project,7.1,False,7.0,魔法少女育成計画
Black Blood Brothers,6.9,False,7.14,ブラック・ブラッド・ブラザーズ
Rozen Maiden,6.9,False,7.44,ローゼンメイデン
Rozen Maiden,6.9,False,7.44,ローゼンメイデン
Flip Flappers,7.2,False,7.68,フリップフラッパーズ
The Relative Worlds,5.8,False,5.81,ソウタイセカイ
Vandread,7.0,False,7.21,ヴァンドレッド
Utawarerumono,7.0,False,7.67,うたわれるもの
Giant Killing,7.6,False,7.58,ジャイアントキリング
Speed Racer,6.2,False,6.67,マッハＧｏＧｏＧｏ
Bananya,6.2,False,6.72,ばなにゃ
IDOLiSH7,8.1,False,7.78,アイドリッシュセブン
Dimension W,6.8,False,7.22,Dimension W
Sarazanmai,6.9,False,7.54,さらざんまい
One Room,4.9,False,5.57,One Room (ワンルーム)
Chi's Sweet Adventure,8.2,False,6.79,こねこのチー ポンポンらー大冒険
Vampire Princess Miyu,6.9,False,7.15,吸血姫美夕
Vampire Princess Miyu,6.9,False,6.99,吸血姫美夕
Air Master,6.8,False,7.02,エアマスター
DearS,6.2,False,6.62,ディアーズ
Today's Menu for the Emiya Family,7.2,False,7.82,衛宮さんちの今日のごはん
Hinomaru Sumo,7.4,False,7.6,火ノ丸相撲
Divine Gate,4.9,False,5.6,ディバインゲート
Gakuen Alice,7.2,False,7.65,学園アリス
Samurai Flamenco,6.5,False,6.91,サムライフラメンコ
Heavy Object,6.4,False,7.29,ヘヴィーオブジェクト
Megazone 23,6.4,False,6.81,メガゾーン23
Hanebado!,6.2,False,6.93,はねバド！
Peace Maker Kurogane,6.4,False,7.33,PEACE MAKER 鐵
Seven Senses of the Re'Union,5.0,False,6.13,七星のスバル
Joker Game,7.0,False,7.06,ジョーカー・ゲーム
