mal_id,name,score,genres,english_name,japanese_name,type,episodes,aired,premiered,producers,licensors,studios,source,duration,rating,ranked,members,director,producer
1050,Bobobo-bo Bo-bobo,7.5,"Sci-Fi, Adventure, Comedy, Shounen",Bobobo-bo Bo-bobo,ボボボーボ・ボーボボ,TV,76,"Nov 8, 2003 to Sep 30, 2005",Fall 2003,"Avex Entertainment, Dentsu, TV Asahi",Discotek Media,Toei Animation,Manga,25 min. per ep.,PG-13 - Teens 13 or older,1569.0,72819,Hiroki Shibata,
1051,Ao no 6-gou,7.04,"Action, Adventure, Mecha, Military, Sci-Fi",Blue Submarine No. 6,青の6号,OVA,4,"Oct 25, 1998 to Mar 25, 2000",Unknown,Unknown,"Bandai Entertainment, Discotek Media",Gonzo,Manga,32 min. per ep.,PG-13 - Teens 13 or older,3477.0,46458,Mahiro Maeda,Kiyoshi SugiyamaShinji NakajimaTsunetoshi Koike (#1–2)Yutaka Yano (#1–3)Takao Nagayama (#4)
1052,Tokyo Juushouden,5.41,"Action, Adventure, Supernatural, Shounen",Ten Tokyo Warriors,倒凶十将伝,OVA,3,"Jul 23, 1999 to Jan 21, 2000",Unknown,"KSS, Kitty Films",Media Blasters,Zexcs,Unknown,26 min. per ep.,PG-13 - Teens 13 or older,9922.0,1649,Noboru IshiguroHikaru Takanashi,Takao AsagaToru Taga
1064,Mazinkaiser,7.31,"Adventure, Comedy, Mecha, Sci-Fi, Shounen",Mazinkaiser,マジンカイザー,OVA,7,"Sep 25, 2001 to Sep 20, 2002",Unknown,"Bandai Visual, Bee Media, Dynamic Planning",ADV Films,Brain's Base,Manga,30 min. per ep.,R+ - Mild Nudity,2311.0,8274,Masahiko Murata,
1072,Sweat Punch,7.41,"Action, Historical, Fantasy, Mecha",Sweat Punch,スウェットパンチ,OVA,5,"Mar 2, 2002 to Jul 1, 2006",Unknown,Beyond C.,Unknown,Studio 4°C,Original,11 min. per ep.,R+ - Mild Nudity,1865.0,33351,Hidekazu OharaOsamu KobayashiKazuto NakazawaYasushi MurakiNobutaka Ito,Eiko Tanaka
1079,Armitage III,7.05,"Action, Adventure, Romance, Mecha, Sci-Fi, Police",Armitage III,アミテージ・ザ・サード,OVA,4,"Feb 25, 1995 to Nov 25, 1995",Unknown,Pioneer LDC,"Funimation, Geneon Entertainment USA",AIC,Original,34 min. per ep.,R - 17+ (violence & profanity),3444.0,26377,Katsuhito Akiyama,Hideki Gotō Hiroe Tsukamoto Hisao Fuke Kōhei Kawase Satoru Yoshida Yasuo Hasegawa
1082,Hikari to Mizu no Daphne,6.76,"Sci-Fi, Mystery, Comedy, Police, Psychological, Drama, Ecchi",Daphne in the Brilliant Blue,光と水のダフネ,TV,24,"Jan 16, 2004 to Jul 3, 2004",Winter 2004,"Genco, Lantis, Toshiba Entertainment","Sentai Filmworks, Geneon Entertainment USA",J.C.Staff,Original,24 min. per ep.,R - 17+ (violence & profanity),4620.0,12433,Takashi Ikehata,Nobuhiro OsawaYuji Matsukura
1083,Human Crossing,6.34,"Drama, Slice of Life, Sports",Human Crossing,人間交差点,TV,13,"Apr 5, 2003 to Jun 28, 2003",Spring 2003,"TV Tokyo, Shogakukan-Shueisha Productions","Maiden Japan, Geneon Entertainment USA",A.C.G.T.,Manga,24 min. per ep.,PG-13 - Teens 13 or older,6669.0,3085,Issei Kume,
1084,I''s,6.01,"Romance, Drama",I''s,フロムアイズ ～もうひとつの夏の物語～,OVA,2,"Dec 9, 2002 to Mar 19, 2003",Unknown,Unknown,VIZ Media,Studio Pierrot,Manga,29 min. per ep.,PG-13 - Teens 13 or older,8187.0,8671,Keisuke ToyoshimaMari Asato,Osamu KoshinakaRyūnosuke Tsuno
1086,Kenran Butou Sai: The Mars Daybreak,7.18,"Adventure, Comedy, Mecha, Military, Romance, Sci-Fi, Shounen",Mars Daybreak,絢爛舞踏祭ザ･マーズ･デイブレイク,TV,26,"Apr 1, 2004 to Sep 23, 2004",Spring 2004,Unknown,Bandai Entertainment,Bones,Original,23 min. per ep.,PG-13 - Teens 13 or older,2867.0,18738,Kunihiro Mori,Masahiko MinamiTaihei YamanishiTakeshi Sasamura
